gene_id,SRR3033249,SRR3033250,SRR3033251,SRR3033252,SRR3033253,SRR3033254,SRR3033255,SRR3033256,SRR3033257,SRR3033258,SRR3033259,SRR3033260,SRR3033261,SRR3033262,SRR3033263,SRR3033264,SRR3033265,SRR3033266,SRR3033267,SRR3033268,SRR3033269,SRR3033270,SRR3033271,SRR3033272,SRR3033273
LOC107964050,0.33,0.33,1.00,0.10,0.09,0.05,0.04,0.00,0.23,0.00,0.15,0.16,0.86,0.66,0.44,0.95,0.18,0.22,0.42,0.35,1.21,0.96,0.30,0.04,0.27
LOC107964051,0.33,0.25,0.90,0.20,0.27,0.13,0.04,0.00,0.23,1.05,0.15,0.15,0.87,1.86,0.52,1.20,0.22,0.28,0.21,0.46,0.37,0.58,0.50,0.23,0.45
LOC412936,85.11,147.88,64.02,66.69,95.46,81.91,53.65,114.27,54.73,114.91,87.33,51.65,88.74,31.69,102.65,138.44,41.92,66.11,77.83,67.99,66.15,45.11,49.75,68.14,61.27
LOC552552,2.83,2.35,3.15,2.74,5.54,1.99,1.47,2.10,2.27,3.91,1.86,1.01,3.17,1.92,1.58,2.68,1.64,2.44,1.74,1.49,1.40,1.08,1.99,1.31,2.36
LOC102653599,2067.86,599.65,400.76,1235.56,1369.17,412.36,311.61,1249.17,328.89,500.15,854.68,304.39,1675.14,768.82,915.49,498.27,174.35,251.89,284.13,239.47,263.02,200.08,527.69,605.75,1115.28
LOC102653594,2.64,2.37,5.33,0.42,0.19,0.67,0.53,0.88,2.39,0.99,2.33,0.82,1.47,4.62,5.66,2.91,12.75,2.94,2.93,5.54,8.92,11.55,2.24,0.61,1.68
LOC102653597,0.00,0.00,0.23,0.90,3.00,0.00,0.44,0.00,0.00,0.00,0.15,0.11,0.84,0.00,0.00,0.00,1.40,1.00,0.43,0.00,0.00,0.00,0.17,0.12,0.32
LOC102653596,0.00,0.00,0.49,0.28,0.00,0.00,0.10,0.00,0.13,0.00,0.00,0.09,0.00,0.00,0.14,0.00,0.25,0.00,0.00,0.24,0.68,0.53,0.00,0.00,0.25
LOC102653590,2.27,0.00,0.29,0.32,0.00,0.00,0.00,0.20,0.68,0.58,0.00,0.00,0.43,0.18,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.31,0.00,0.10,0.00
LOC102653593,0.59,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.63,0.00,0.77,0.67,1.21,0.00,0.76,0.75,1.84,3.88,1.01,1.57,0.34,0.44,0.60,0.29,0.94
