gene_id,1,10,11,13,14,25,26,31,36,4,42,45,46,53,54,55,57,61,7,9
LOC411903,2230.00,1009.00,1710.56,1676.00,2420.59,1379.98,1471.25,627.00,1019.00,1174.00,2809.73,529.00,450.00,293.00,700.00,621.41,1944.58,491.00,1152.54,298.00
LOC409499,781.00,488.99,1185.00,528.00,712.00,604.00,448.00,734.00,863.00,619.00,1024.00,497.00,486.00,821.00,1657.00,674.00,644.00,829.00,493.00,65.00
LOC413368,258.21,252.01,371.10,623.52,558.06,257.13,177.98,160.00,393.46,202.08,553.81,81.42,156.00,92.00,132.81,223.65,580.35,158.00,291.73,88.00
LOC413369,70.00,44.00,67.00,76.00,80.00,67.99,101.00,19.00,82.00,110.00,121.00,36.00,24.00,27.00,53.00,49.00,69.00,141.00,119.00,18.00
Mir6044,0.00,2.00,1.00,1.00,0.00,4.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,3.00,0.00,1.00,2.00,2.00,0.00
LOC725301,150.00,120.00,146.00,111.00,137.14,177.00,112.00,174.00,182.51,71.00,75.00,118.00,117.00,214.00,143.00,134.01,151.00,172.00,88.00,5.00
LOC725302,4.00,0.00,1.00,23.00,3.00,6.00,19.00,1.00,7.00,12.00,8.00,0.00,5.00,0.00,4.00,0.00,6.00,7.00,4.00,2.00
LOC409498,412.00,106.00,315.00,299.00,767.00,188.00,229.00,166.00,212.00,197.00,498.00,91.00,83.00,121.00,94.00,182.00,636.00,158.00,163.00,117.00
LOC725305,10375.52,6376.30,14188.73,9331.08,7159.33,9489.91,16841.27,8246.39,6693.58,8072.50,20374.71,16695.66,6919.46,10953.82,15821.12,8677.27,5112.34,13394.16,7319.42,2832.20
LOC725306,681.94,280.23,557.00,997.01,1111.99,406.03,317.36,279.00,348.36,321.31,972.00,176.00,191.33,157.00,154.00,384.47,794.00,251.00,293.63,278.48
LOC725308,25.00,12.00,31.00,6.00,29.00,8.00,20.00,48.00,22.00,24.00,8.00,54.00,32.00,41.00,27.00,53.00,31.61,34.00,10.00,1.00
LOC725309,1154.16,1331.10,553.06,1365.86,1710.15,2317.89,488.07,4260.28,1873.91,456.63,287.00,372.78,3757.78,3273.12,669.10,2471.45,1286.16,810.01,1108.97,39.00
Tom7,140.95,148.39,176.93,91.00,112.14,129.00,100.00,261.27,170.00,113.00,141.79,178.89,201.38,328.08,192.72,167.00,129.63,239.91,92.33,14.00
LOC552515,2787.02,678.10,2144.13,1595.00,2551.37,1358.00,1101.00,1524.43,1817.00,956.97,2295.98,835.01,868.00,751.00,1057.00,1114.97,1840.27,855.70,1108.00,274.00
LOC552514,704.00,1504.00,830.00,578.00,671.00,824.98,639.05,1076.01,839.85,894.00,577.00,947.99,897.00,1548.00,979.89,901.00,775.00,1206.01,834.00,64.00
LOC552517,2622.88,2997.23,2610.40,1991.00,2465.53,2260.10,2143.00,4852.01,2697.00,2201.96,2414.37,3663.85,3540.09,5102.65,3436.45,3461.00,2193.00,3310.39,2022.00,277.00
LOC552516,449.00,174.00,415.00,150.00,490.00,240.00,153.00,366.00,375.99,123.00,233.00,170.00,223.00,339.00,164.00,263.00,417.00,290.00,208.00,15.00
LOC552511,763.00,741.00,860.00,389.00,905.00,496.00,452.00,438.00,275.00,610.00,706.37,496.00,270.00,620.00,373.00,386.00,197.00,1125.00,355.00,164.00
LOC552510,208.42,265.00,189.07,214.01,166.57,342.34,210.84,337.18,305.51,174.84,152.14,182.85,230.55,245.02,195.01,223.93,227.22,254.95,209.51,11.27
LOC102656499,50.00,7.00,27.00,41.00,32.88,11.15,34.75,1.00,15.00,10.00,15.00,2.00,9.00,7.00,3.25,13.41,50.00,0.00,16.00,0.00
LOC102656498,120.20,115.86,80.02,100.57,110.54,27.93,34.49,56.66,94.67,53.91,69.84,81.29,33.18,45.34,49.74,63.22,151.42,108.42,52.47,66.13
LOC102656497,1.00,0.00,2.00,21.00,0.00,1.00,25.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,2.00,1.00,0.00,1.00,0.00,3.00
LOC102656496,2.00,0.00,2.00,4.00,2.00,3.00,6.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00,2.00,2.00,0.00,0.00
LOC102656494,1.12,3.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,1.37,0.00,2.00,2.00,0.00,1.52,0.00,0.00,0.00
LOC102656493,0.00,1.00,2.17,6.16,0.00,0.00,8.98,1.00,1.74,0.00,8.00,7.00,0.00,13.00,7.00,0.00,2.00,0.00,1.00,0.00
LOC102656492,113.00,150.00,143.00,81.00,126.00,162.00,105.00,110.00,112.00,73.09,72.00,63.00,95.00,111.00,48.00,102.00,116.00,125.00,123.00,5.00
LOC102656491,886.00,342.00,783.00,916.00,772.00,1267.01,757.00,1745.72,1237.00,526.19,717.00,1051.00,1521.97,1465.00,1456.99,1085.00,716.00,962.00,556.98,94.00
LOC102656490,2.00,3.00,0.00,13.00,5.00,0.00,7.00,13.00,6.00,6.00,1.00,0.00,4.00,3.00,4.00,1.00,11.00,3.00,3.00,0.00
LOC409491,528.62,466.84,643.81,520.02,491.61,679.21,499.37,1031.71,790.30,366.26,459.08,613.39,625.20,981.05,523.80,673.10,483.09,889.81,548.16,48.33
LOC100577035,1.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LOC100577033,457.00,428.00,438.00,195.00,405.00,370.00,299.00,297.00,382.00,263.00,285.00,391.00,272.00,495.89,350.00,400.00,494.00,397.00,320.00,40.00
LOC100577032,143.00,99.00,111.00,166.05,162.00,50.00,76.00,53.00,88.00,127.00,172.01,169.00,43.14,31.00,155.00,58.00,219.08,142.00,75.00,251.97
LOC100577030,9.00,25.00,18.00,32.55,22.00,17.00,7.00,7.00,5.00,7.00,36.00,16.00,7.00,4.00,26.00,6.00,36.01,31.03,10.00,12.00
LOC100577039,7.00,1.00,3.00,12.00,0.00,4.00,11.00,9.00,6.00,1.00,26.00,4.00,4.96,1.00,6.00,3.00,4.00,1.00,4.00,0.00
LOC100576207,0.00,0.00,0.00,2.00,0.00,1.00,5.00,1.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00
LOC409636,674.92,544.60,600.57,753.38,686.41,654.66,670.61,523.89,875.86,672.43,1039.93,243.84,556.00,167.00,557.78,689.65,764.43,276.74,650.27,111.00
