gene_id,1,10,11,13,14,25,26,31,36,4,42,45,46,53,54,55,57,61,7,9
LOC409499,65.84,38.13,93.61,52.93,55.43,53.26,42.92,60.53,69.45,54.23,78.74,35.47,35.58,50.96,112.91,53.13,49.85,61.52,43.72,28.22
LOC413368,3.96,3.54,5.35,11.43,8.22,4.27,3.14,2.45,5.79,3.29,7.76,1.10,2.14,1.01,1.63,3.24,8.44,2.13,4.95,6.90
LOC413369,2.09,1.18,1.84,2.67,2.24,2.15,3.42,0.55,2.30,3.37,3.25,0.93,0.63,0.57,1.26,1.38,1.91,3.67,3.83,2.75
Mir6044,0.00,4.41,2.25,2.88,0.00,10.35,0.00,2.38,0.00,2.52,4.41,0.00,0.00,0.00,5.87,0.00,2.27,4.27,5.27,0.00
LOC725301,11.44,8.23,10.25,9.94,9.82,14.26,9.68,12.90,13.07,5.56,5.14,7.79,7.86,11.58,8.70,9.63,10.65,11.43,7.22,1.95
LOC725302,0.33,0.00,0.08,2.20,0.23,0.52,1.76,0.08,0.54,1.01,0.59,0.00,0.36,0.00,0.26,0.00,0.45,0.50,0.35,0.84
LOC409498,13.69,3.17,9.64,11.67,23.94,6.60,8.62,5.37,6.62,6.72,14.88,2.62,2.43,2.85,2.49,5.70,19.56,4.58,5.83,19.91
LOC725305,696.58,384.92,876.79,735.65,451.38,673.20,1281.31,538.53,421.97,556.55,1229.74,970.11,409.58,521.76,847.86,549.13,317.60,783.66,528.79,973.41
LOC725306,11.11,4.11,8.36,19.08,17.02,6.99,5.86,4.42,5.33,5.38,14.24,2.48,2.75,1.82,2.00,5.91,11.97,3.56,5.15,23.24
LOC725308,5.62,2.43,6.42,1.58,6.12,1.90,5.10,10.50,4.64,5.54,1.62,10.51,6.34,6.54,4.85,11.23,6.58,6.66,2.42,1.15
LOC725309,161.19,167.16,71.10,224.01,224.30,342.05,77.25,578.77,245.75,65.49,36.03,45.06,462.72,324.33,74.59,325.36,166.22,98.59,166.66,27.88
Tom7,111.57,105.62,128.92,84.60,83.36,107.89,89.70,201.20,126.38,91.86,100.91,122.59,140.57,184.28,121.79,124.63,94.97,165.52,78.64,56.74
LOC552515,163.79,35.85,116.03,110.13,140.87,84.37,73.24,87.18,100.31,57.78,121.36,42.49,44.96,31.33,49.58,61.76,100.12,43.84,70.05,82.47
LOC552514,93.56,175.97,102.20,89.72,82.64,118.66,96.31,137.36,103.79,121.04,68.69,108.06,107.86,146.63,106.12,114.89,95.84,138.99,116.06,42.29
LOC552517,318.26,327.02,291.54,283.70,280.95,289.77,294.68,572.68,307.29,274.38,263.37,384.78,378.73,439.29,332.85,395.86,246.23,350.06,264.02,172.07
LOC552516,27.73,9.66,23.59,10.88,28.42,15.66,10.71,21.99,21.80,7.80,12.94,9.09,12.14,14.85,8.08,15.31,23.83,15.61,13.82,4.74
LOC552511,78.32,68.38,81.31,46.74,87.19,53.83,52.62,43.76,26.52,64.28,65.18,44.10,24.38,45.18,30.58,37.37,18.73,100.66,39.09,86.24
LOC552510,8.44,9.20,7.24,10.24,6.40,14.35,10.07,13.50,12.18,7.12,5.49,6.41,8.71,6.86,6.22,8.26,8.05,9.17,9.23,2.36
LOC102656499,2.17,0.30,1.08,2.02,1.33,0.55,1.70,0.04,0.61,0.45,0.59,0.10,0.44,0.22,0.14,0.55,2.01,0.00,0.78,0.00
LOC102656498,14.35,12.13,9.20,13.90,12.36,3.54,4.88,6.72,11.10,6.92,7.84,8.79,3.65,4.02,4.58,7.06,16.30,10.25,7.05,38.09
LOC102656497,0.08,0.00,0.15,1.92,0.00,0.09,2.24,0.00,0.00,0.00,0.00,0.07,0.00,0.22,0.13,0.08,0.00,0.07,0.00,1.26
LOC102656496,0.07,0.00,0.07,0.17,0.07,0.11,0.25,0.00,0.00,0.00,0.03,0.00,0.07,0.00,0.00,0.05,0.07,0.06,0.00,0.00
LOC102656494,0.25,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.26,0.00,0.31,0.35,0.00,0.31,0.00,0.00,0.00
LOC102656493,0.00,0.07,0.15,0.55,0.00,0.00,0.78,0.07,0.12,0.00,0.55,0.46,0.00,0.70,0.43,0.00,0.14,0.00,0.08,0.00
LOC102656492,2.40,2.87,2.80,2.02,2.52,3.64,2.53,2.28,2.24,1.60,1.38,1.16,1.78,1.68,0.82,2.05,2.28,2.32,2.82,0.54
LOC102656491,148.88,51.67,121.10,180.74,121.82,224.95,144.15,285.33,195.18,90.80,108.31,152.85,225.48,174.65,195.42,171.85,111.33,140.87,100.71,80.86
LOC102656490,0.09,0.12,0.00,0.60,0.20,0.00,0.35,0.51,0.25,0.27,0.04,0.00,0.15,0.09,0.14,0.04,0.44,0.11,0.14,0.00
LOC409491,42.76,34.24,47.55,49.26,37.07,57.11,45.43,80.65,59.97,30.19,32.73,42.51,43.61,57.23,33.60,51.39,35.92,61.81,47.08,19.99
LOC100577035,0.19,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LOC100577033,29.83,24.40,25.56,14.61,24.80,26.55,22.13,19.69,24.43,18.03,17.14,22.25,15.63,24.53,17.72,25.36,29.85,22.87,24.16,13.80
LOC100577032,14.28,8.74,10.05,19.36,15.36,5.34,8.52,5.08,7.81,13.65,15.09,14.60,3.80,2.19,12.20,5.61,19.93,12.35,8.28,131.17
LOC100577030,0.47,1.47,1.02,1.99,1.26,1.17,0.46,0.32,0.25,0.47,1.94,0.91,0.35,0.19,1.31,0.37,1.94,1.53,0.70,4.02
LOC100577039,0.42,0.05,0.17,0.84,0.00,0.25,0.75,0.52,0.34,0.06,1.40,0.21,0.26,0.04,0.29,0.17,0.22,0.05,0.26,0.00
LOC100576207,0.00,0.00,0.00,0.32,0.00,0.14,0.77,0.13,0.38,0.00,0.12,0.00,0.00,0.00,0.00,0.13,0.50,0.00,0.00,0.00
LOC409636,39.16,28.41,32.12,51.37,37.42,40.19,44.06,29.55,47.77,40.09,54.19,12.25,28.48,6.89,25.83,37.78,41.08,13.98,40.65,33.03
LOC551154,718.99,443.76,429.64,363.54,490.86,592.54,506.97,354.00,485.03,375.55,369.87,429.49,336.97,521.15,304.83,493.02,329.90,618.44,836.36,391.27
Mir3788,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LOC551156,38.31,21.81,38.99,43.87,32.71,45.73,37.79,46.17,46.17,23.71,35.72,24.80,27.27,25.40,22.08,31.50,37.11,35.38,40.52,22.26
LOC551157,339.12,300.13,309.21,278.47,278.65,305.34,230.65,357.16,368.32,268.30,268.02,265.12,285.79,226.93,245.74,332.05,306.17,290.74,243.44,206.97
LOC551150,138.67,83.84,111.04,96.62,153.40,93.30,75.74,51.86,83.81,89.14,113.31,47.19,30.69,28.52,49.84,60.36,171.50,60.37,99.45,84.58
LOC551151,35.07,15.23,32.55,21.17,27.66,27.02,22.26,45.47,26.65,21.41,21.22,29.57,25.91,34.78,28.49,31.05,21.66,29.38,20.25,21.30
LOC552652,8.26,1.31,7.99,6.85,7.24,7.77,4.31,10.91,10.51,1.76,4.10,5.27,4.11,7.15,3.54,7.35,6.86,5.67,5.11,1.95
LOC551153,8.70,3.77,8.74,7.50,6.75,10.15,5.40,19.67,11.35,4.64,4.06,3.91,3.93,8.84,4.55,9.83,8.97,5.93,4.77,2.10
Mir3781,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,1.49,0.00
